gender,age,education_years,income_level,financial_literacy,numerical_reasoning,risk_preference,social_capital,consistency_score,response_time,answer_changes,session_duration,mobile_usage_score,skipped_questions,expenses,psychometric_score,credit_score,repayment_status
Male,57,15,29019,24,60,65,42,85,72.74370861023077,1,16.336567941196297,56,4,23903,49.0,531,0
Female,24,12,48739,80,81,88,43,54,231.50572947897018,0,14.527527505705136,95,4,52650,62.7,460,0
Male,49,7,8668,91,96,12,51,99,143.08678273853303,5,18.09533405769089,64,3,8309,87.55,626,0
Male,36,14,81280,79,37,90,70,99,143.7117849635859,4,15.591596774511405,30,1,38253,64.25,620,0
Male,23,9,33754,43,69,12,65,52,117.16053776887233,0,12.0443121689418,84,0,22731,59.1,617,0
Female,37,7,60614,26,60,61,32,69,207.19875500564103,5,20.314311510519513,54,4,54381,45.3,503,0
Male,44,9,90058,80,53,27,33,43,97.52872413720183,2,9.813237238950393,51,2,88123,58.1,633,0
Male,54,13,9509,55,100,45,36,42,42.74194157805718,1,17.04627783088587,69,3,3495,60.8,625,0
Male,24,16,7500,46,31,14,35,100,139.45558538201715,0,13.272719701625007,52,2,6413,55.4,563,0
Female,22,8,80440,48,99,92,51,56,225.17738232845446,3,24.431027595514053,88,0,33969,58.8,634,0
Male,28,10,31921,39,96,84,98,82,94.65333730887498,6,13.16054303860678,52,0,12282,68.4,633,0
Male,32,7,59551,89,94,43,31,75,93.26108733869022,7,13.796006256130507,85,2,58051,75.55,642,0
Male,20,7,21683,95,97,94,22,82,187.61997588881044,4,20.020481901719158,52,4,20149,73.05,537,0
Male,22,9,82952,95,61,22,94,38,195.1066668128365,6,10.184079119317179,43,2,74430,73.25,664,1
Female,40,12,19833,22,74,100,72,40,127.11130753702949,2,13.51862668687151,32,4,6333,43.9,553,0
Male,54,12,23290,58,78,66,62,58,206.7286542246072,0,19.83055200525856,26,3,11772,61.2,585,0
Female,26,7,19003,64,70,98,24,91,74.38661680073668,7,8.522813590544617,54,4,12254,58.7,501,0
Female,32,12,76656,87,72,77,66,45,113.40507467218937,7,13.287010694094178,38,2,76965,65.3,539,0
Female,20,17,46253,50,100,65,46,70,120.85558306335443,0,8.140346328312855,53,1,33234,64.4,628,0
Male,46,15,84787,57,28,49,71,79,102.55917864125868,2,10.553896357557875,45,3,59258,55.65,630,0
Female,23,17,56025,25,22,12,75,97,83.5475098038288,2,18.271355699105246,89,3,17014,52.45,656,1
Male,34,12,93022,27,27,1,99,25,107.62990578845852,0,15.764152629692044,72,2,89654,44.6,617,0
Female,43,7,98870,47,78,75,99,26,43.60063670715154,3,10.652440546376498,73,1,75939,56.15,635,0
Female,38,14,76708,34,49,90,99,79,180.6700069520137,3,9.326432448984614,42,1,45801,54.1,588,0
Female,25,17,27706,27,86,33,87,80,176.7918469060624,3,8.957515968363795,82,0,11869,65.35,634,0
Female,38,14,89008,73,74,39,34,24,130.04362244206663,0,9.451088691060951,29,1,56561,56.4,662,1
Female,28,6,92231,25,53,68,38,27,104.58311677313671,1,9.633305496794282,55,0,45283,35.05,543,0
Female,55,14,47732,48,62,60,45,52,126.81870718048981,0,9.467315637895803,52,4,31510,51.05,573,0
Female,25,6,81591,53,47,24,98,76,227.30416319778402,1,8.936363758752792,92,4,44483,65.15,644,0
Female,59,13,37716,26,56,74,64,31,160.71296977984684,3,19.849522337979757,78,4,12641,40.2,577,0
Male,41,11,11880,59,49,76,29,56,186.2714631636158,0,24.00153403475235,84,0,12996,47.9,456,0
Male,52,10,33949,93,90,62,45,34,85.9033490622594,5,22.55164104276172,52,1,22347,67.75,616,0
Female,31,11,90346,32,81,27,27,36,58.951594465045616,3,12.519510590046949,90,2,85904,48.4,609,0
Female,31,12,71064,81,48,84,99,56,56.636986941823366,7,11.472750601832665,92,3,27921,63.95,657,1
Female,27,16,48093,84,21,55,51,70,134.4037707157169,7,8.814504887414625,80,1,37849,56.6,586,0
Male,29,5,88844,60,76,25,40,48,183.33726758220652,0,10.652572560560756,35,0,63962,60.1,673,1
Female,55,12,27844,61,76,26,64,22,194.82407651881093,7,17.65211197804026,83,2,29594,58.7,441,0
Male,51,7,27360,85,61,25,74,94,184.08196139800194,3,24.96812248057011,79,0,25797,78.15,627,0
Male,58,7,92941,30,68,14,31,45,222.55249752963405,2,22.603584916846856,33,0,58610,48.25,623,0
Male,27,10,87782,69,76,49,67,64,50.40048917843723,5,16.75366601587305,65,3,82114,67.65,632,0
Male,34,8,98328,90,90,5,78,25,211.0678977129661,7,15.19873302606847,56,2,61595,75.7,681,1
Male,34,8,48322,54,37,67,93,73,172.13531912079443,0,10.513040028234423,25,4,43907,57.3,549,0
Female,20,8,25704,99,89,3,89,38,75.10402240052613,1,15.11605098038233,88,1,13704,82.6,709,1
Female,48,14,57646,98,46,29,56,32,176.4761469675255,3,18.112589113600354,30,4,34492,62.8,599,0
Female,18,13,53181,39,73,76,50,76,142.35191202751426,7,18.12306663795721,90,0,41722,55.05,593,0
Female,29,12,35589,47,43,8,22,92,111.80824930684031,5,17.47829021284527,29,3,26076,55.75,565,0
Female,56,7,92972,56,53,41,88,76,89.59163183317287,5,22.008320221190672,37,2,57306,64.35,671,1
Male,21,5,95179,22,41,13,78,65,132.83087744894652,5,16.67142585151992,98,3,99947,50.25,521,0
Female,59,5,88562,78,82,91,52,31,87.82652903784191,4,16.038442797310907,94,3,62279,58.8,611,0
Female,30,5,86229,92,55,39,55,48,56.569416792826686,1,13.198156390664913,22,2,75622,65.3,665,1
Male,51,8,14212,46,80,2,93,84,209.2240116839975,4,11.064109451992508,49,2,9004,74.35,594,0
Female,59,10,18850,51,61,40,22,68,158.56739637123854,3,8.023867091002767,70,2,16562,53.45,544,0
Male,38,8,44767,67,52,92,94,23,112.7339316776661,5,13.475671018817978,32,3,41808,52.6,497,0
Female,39,15,12322,65,93,32,22,96,129.33599612655098,6,18.762373012169036,38,0,9089,72.05,601,0
Male,21,15,40911,66,28,78,78,47,212.9654735219377,0,17.50125766307851,30,3,13343,50.1,616,0
Female,35,7,51580,59,44,59,73,69,103.96870110117159,7,17.018781570974625,88,0,36279,57.55,614,0
Female,22,12,55622,22,32,63,47,31,116.034609491001,0,21.13040511541984,44,1,56685,31.55,358,0
Male,36,12,10678,94,66,61,28,37,193.2160821563454,0,11.958395284033715,41,0,3919,60.2,650,1
Male,19,10,70265,48,64,78,45,25,80.10452218264624,4,19.535146082612513,64,1,53919,44.35,595,0
Male,29,13,71918,77,24,6,48,87,171.8525104673225,5,18.321802449496143,51,4,23543,63.1,689,1
Male,34,16,26780,69,50,75,29,95,126.86476109185786,6,13.762854278111744,54,1,18472,59.05,588,0
Male,27,14,32506,29,50,49,46,42,140.03171311936174,6,11.715241247464187,76,3,27744,41.6,508,0
Male,51,5,47296,80,90,38,82,47,197.37603112416002,7,17.565727782415387,71,4,28586,74.4,599,0
Male,23,17,44882,80,60,70,81,94,238.62647126298708,3,24.067517181151,74,3,17555,72.95,674,1
Male,25,12,65510,42,65,46,37,59,206.30238480389409,2,9.297964316285945,83,3,69304,51.6,482,0
Female,28,10,47202,25,71,69,72,67,72.10879327252083,6,24.200742268007353,100,1,49395,52.55,495,0
Female,29,5,6705,94,24,25,36,53,84.91036704807769,0,15.90088844609286,22,2,6277,57.7,532,0
Male,26,8,76533,79,31,57,68,81,121.98609542781665,3,20.070739515226748,55,3,35675,62.15,671,1
Female,19,9,92983,46,40,72,45,77,183.84530398020527,2,21.654479339593586,79,4,85386,48.75,604,0
Female,25,11,45730,74,28,50,24,53,141.8742330640463,2,10.575751549598035,50,3,25971,48.4,557,0
Female,28,12,85071,50,36,87,92,76,220.3601350510975,6,8.764287033847735,26,2,66972,54.3,570,0
Female,53,13,95016,49,43,51,63,48,49.735096074556694,3,10.184359351062538,64,2,62502,49.4,624,0
Male,27,16,36051,86,46,93,43,96,91.70339576259948,0,13.79619911793684,59,3,18037,63.65,572,0
Female,38,16,82665,32,27,15,76,71,83.85431848616346,0,24.261421903263567,88,2,67987,50.45,624,0
Male,37,10,55467,78,63,47,26,27,188.83418950187607,1,8.727182444561366,51,1,48547,53.75,589,0
Female,25,14,35785,73,81,26,39,35,132.9543096378577,3,23.636567693620798,65,0,25860,62.4,630,0
Female,53,13,34402,40,48,32,75,49,43.00260814053315,5,17.542009754856075,36,2,14779,51.85,575,0
Female,46,8,7704,62,93,22,91,100,194.68735048576667,2,9.739796345473957,74,3,5359,83.3,652,1
Male,59,12,32027,30,43,44,38,45,112.36063122053433,4,10.596724349878635,27,2,29311,40.05,505,0
Female,29,7,64092,86,53,82,83,76,92.09207169245624,7,19.718629920865496,25,3,62630,68.5,554,0
Male,31,8,10725,57,79,99,62,58,76.5435364159506,4,18.343708823577295,82,4,3448,57.85,565,0
Female,38,14,69105,43,50,82,63,52,229.20243734511382,5,10.846759981092926,63,3,31047,47.05,549,0
Male,39,8,30223,70,23,21,44,97,228.4076055278935,6,23.37362849612063,87,4,31554,60.65,453,0
Female,38,10,97305,95,28,41,36,50,55.31057763634334,0,10.259366865381356,53,0,90042,56.8,655,1
Male,47,13,32384,80,96,32,58,99,86.55347193058401,1,16.69675096291733,20,1,28329,83.3,679,1
Male,56,10,67993,65,73,9,44,40,169.22386441656928,5,16.981003826775616,47,0,27901,61.45,645,0
Female,37,5,35027,62,20,46,58,69,174.08493167566286,7,22.798540062304802,85,3,10630,51.5,625,0
Male,41,9,17767,46,80,95,58,25,123.53434876886281,6,8.376553671794355,90,0,13698,48.0,509,0
Female,40,13,92017,49,92,78,78,79,153.70197156244285,6,10.31967891543411,94,4,91357,67.4,627,0
Female,24,9,23354,82,50,38,85,92,180.5261166419322,4,10.901537560924355,25,0,8337,74.45,678,1
Female,26,10,53777,29,64,45,35,32,230.10184081367322,0,9.068983757921668,79,1,19117,41.85,630,0
Female,18,7,89682,22,79,71,72,77,185.0218802533562,1,18.735215829546227,60,2,98546,55.45,537,0
Female,43,12,26901,96,92,50,97,63,62.05412619117688,4,11.903197631953516,99,4,13157,83.95,676,1
Female,55,14,54966,79,61,24,48,98,183.56932283456166,2,17.803387187526333,45,0,45744,73.35,634,0
Female,55,15,73637,46,46,81,85,51,53.545265707828165,7,21.304407461071357,34,0,54952,50.15,553,0
Female,39,17,99263,64,77,14,29,78,140.5014474015478,4,14.944984385917556,53,0,62696,67.0,697,1
Female,27,8,21515,81,88,57,21,100,145.37904818457844,4,21.070454663611354,33,4,20274,73.75,563,0
Female,23,8,29806,43,100,58,32,64,195.65294114121446,4,21.2237653609416,88,0,14613,59.7,619,0
Female,34,15,8573,65,92,25,73,74,42.311729881046595,7,12.478192117591181,31,2,4491,75.75,591,0
Male,55,16,46941,97,53,40,21,68,214.95041342005376,6,8.267658155852104,56,3,24085,65.1,609,0
Male,41,9,96044,63,29,43,61,80,172.77694594160602,4,9.755791504507648,90,0,70854,57.0,661,1
Female,27,14,96521,82,85,84,33,59,46.23816999643756,0,21.99990358290348,51,2,79614,64.2,622,0
Female,25,13,48915,23,44,21,100,53,72.00605518855593,3,14.890224355240106,28,4,18300,51.4,606,0
Female,38,17,58780,35,22,97,70,31,47.90350599537051,2,22.264632274013987,56,3,24531,33.0,432,0
Female,23,12,10060,70,53,36,68,34,193.18792009028118,6,17.30774344589573,28,4,3969,57.65,584,0
Female,38,11,54094,93,90,100,57,28,74.18101848173274,7,11.355721591269074,38,3,44416,64.55,552,0
Female,56,9,61899,67,47,13,53,39,49.11999673330446,3,20.108033370598054,95,2,49540,56.3,592,0
Female,41,13,60421,84,28,3,48,68,67.59754636499207,0,17.489167824753984,83,2,58252,62.7,610,0
Female,50,13,50610,88,30,23,83,33,151.9114007841893,4,13.980688606501474,27,3,26783,60.65,606,0
Male,35,14,15933,96,99,65,42,24,139.09730505319737,6,9.491188922642017,31,2,14117,68.15,562,0
Female,45,14,77168,64,58,62,42,67,89.25147059818406,1,9.739072054659486,56,1,40755,57.2,654,1
Male,49,6,48898,22,32,64,35,76,228.58705614682583,1,11.204697440488438,35,3,44073,38.65,435,0
Female,29,8,93509,36,30,65,63,79,210.96177313706247,3,19.43982902737919,22,0,73534,47.05,608,0
Female,59,12,10589,56,54,12,79,91,102.8921879243795,6,20.375514175974796,27,0,6683,69.15,603,0
Male,44,17,16612,24,27,26,90,100,134.91438639431158,5,18.725569497009047,30,0,13423,54.85,541,0
Female,27,5,52611,66,26,80,84,62,143.36463845503937,1,13.733562590903318,93,0,51361,53.3,584,0
Male,59,17,23888,63,88,16,38,83,191.23515498288617,3,15.48799073363974,34,0,11407,71.6,632,0
Female,49,9,24417,52,89,68,64,21,125.58931096815883,2,20.062516225089375,42,1,19338,54.85,578,0
Female,59,12,66323,40,76,87,20,20,149.29415306492965,1,19.21753619062805,31,0,72601,39.3,359,0
Male,43,6,82551,86,54,56,31,83,122.5131128558499,6,21.141230025516325,22,2,77426,64.95,638,0
Female,42,6,50440,87,30,71,44,91,192.56416224622203,7,12.099338419727648,80,4,27210,61.3,573,0
Male,28,17,40744,51,57,72,29,43,151.18679721760077,5,8.076311152092337,84,2,37795,45.3,541,0
Female,40,12,88391,43,97,17,85,21,205.55612202876765,4,12.52951571358126,54,2,61510,62.4,634,0
